ANIO,MES,INDICE
2016,Apr,85.5
2016,May,89.1
2016,Jun,91.9
2016,Jul,93.7
2016,Aug,93.9
2016,Sep,95
2016,Oct,97.2
2016,Nov,98.8
2016,Dec,100
2017,Jan,101.6
2017,Feb,103.7
2017,Mar,106.1
2017,Apr,109
2017,May,110.5
2017,Jun,111.8
2017,Jul,113.8
2017,Aug,115.4
2017,Sep,117.6
2017,Oct,119.4
2017,Nov,121
2017,Dec,124.8
2018,Jan,127
2018,Feb,130.1
2018,Mar,133.1
2018,Apr,136.8
2018,May,139.6
2018,Jun,144.8
2018,Jul,149.3
2018,Aug,155.1
2018,Sep,165.2
2018,Oct,174.1
2018,Nov,179.6
2018,Dec,184.3
2019,Jan,189.6
2019,Feb,196.8
2019,Mar,206
2019,Apr,213.1
2019,May,219.6
2019,Jun,225.5
2019,Jul,230.5
2019,Aug,239.6
2019,Sep,253.7
2019,Oct,262.1
2019,Nov,273.2
2019,Dec,283.4
2020,Jan,289.8
2020,Feb,295.7
2020,Mar,305.6
2020,Apr,310.1
2020,May,314.9
2020,Jun,322
2020,Jul,328.2
2020,Aug,337.1
2020,Sep,346.6
2020,Oct,359.7
2020,Nov,371
2020,Dec,385.9
2021,Jan,401.5
2021,Feb,415.9
2021,Mar,435.9
2021,Apr,453.7
2021,May,468.7
2021,Jun,483.6
2021,Jul,498.1
2021,Aug,510.4
2021,Sep,528.5
2021,Oct,547.1
2021,Nov,560.9
2021,Dec,582.5
2022,Jan,605
2022,Feb,633.4
2022,Mar,676.1
2022,Apr,716.9
2022,May,753.1
2022,Jun,793
2022,Jul,851.8
2022,Aug,911.1
2022,Sep,967.3
2022,Oct,1028.7
2022,Nov,1079.3
2022,Dec,1134.6
2023,Jan,1203
2023,Feb,1282.7
2023,Mar,1381.2
2023,Apr,1497.2
2023,May,1613.6
2023,Jun,1709.6
2023,Jul,1818.1
2023,Aug,2044.3
2023,Sep,2304.9
2023,Oct,2496.3
2023,Nov,2816.1
2023,Dec,3533.2
2024,Jan,4261.5
2024,Feb,4825.8
2024,Mar,5357.1
2024,Apr,5830.2
2024,May,6073.7
2024,Jun,6351.7
2024,Jul,6607.7
2024,Aug,6883.4
2024,Sep,7122.2
2024,Oct,7314
2024,Nov,7491.4
2024,Dec,7694
2025,Jan,7864.1
2025,Feb,8053
2025,Mar,8353.3
2025,Apr,8585.6
2025,May,8714.5
2025,Jun,8855.6
2025,Jul,9024
2025,Aug,9193.2
2025,Sep,9384.1
2025,Oct,9603.9
